# MEAN_SAMPLE_SIZE = 50094
# TOTAL_GENES = 18882
# TEST_DIRECTION = one-sided, positive (set), two-sided (covar)
# CONDITIONED_INTERNAL = gene size, gene density, sample size, inverse mac, log(gene size), log(gene density), log(sample size), log(inverse mac)
VARIABLE                                TYPE  NGENES         BETA     BETA_STD           SE            P FULL_NAME
BENPORATH_MYC_TARGETS_WITH_E...          SET     209     0.067413    0.0070532     0.062011       0.1385 BENPORATH_MYC_TARGETS_WITH_EBOX
BENPORATH_NANOG_TARGETS                  SET     940     0.037415    0.0081378     0.030296      0.10842 BENPORATH_NANOG_TARGETS
BENPORATH_NOS_TARGETS                    SET     173    -0.063582   -0.0060582     0.070912      0.81504 BENPORATH_NOS_TARGETS
BENPORATH_OCT4_TARGETS                   SET     276    -0.053983   -0.0064789     0.055834      0.83318 BENPORATH_OCT4_TARGETS
BENPORATH_PRC2_TARGETS                   SET     587   -0.0046239  -0.00080252     0.043489      0.54234 BENPORATH_PRC2_TARGETS
BENPORATH_PROLIFERATION                  SET     145     0.039726    0.0034679     0.070656      0.28698 BENPORATH_PROLIFERATION
BENPORATH_SOX2_TARGETS                   SET     703     0.063626     0.012047     0.034658       0.0332 BENPORATH_SOX2_TARGETS
BENPORATH_SUZ12_TARGETS                  SET     901     0.016663     0.003552     0.034806      0.31607 BENPORATH_SUZ12_TARGETS
BERENJENO_ROCK_SIGNALING_NOT...1         SET      48       0.2933      0.01477      0.13444     0.014574 BERENJENO_ROCK_SIGNALING_NOT_VIA_RHOA_DN
BERENJENO_ROCK_SIGNALING_NOT...2         SET      28     -0.18862   -0.0072583      0.17353      0.86146 BERENJENO_ROCK_SIGNALING_NOT_VIA_RHOA_UP
BERENJENO_TRANSFORMED_BY_RHO...1         SET     378     0.029681    0.0041574     0.047776      0.26722 BERENJENO_TRANSFORMED_BY_RHOA_DN
BERENJENO_TRANSFORMED_BY_RHO...2         SET      28     -0.11988    -0.004613      0.18364      0.74305 BERENJENO_TRANSFORMED_BY_RHOA_FOREVER_DN
BERENJENO_TRANSFORMED_BY_RHO...3         SET      20     -0.41261    -0.013422       0.2112      0.97462 BERENJENO_TRANSFORMED_BY_RHOA_FOREVER_UP
BERENJENO_TRANSFORMED_BY_RHO...4         SET      28      0.17154    0.0066011       0.1949       0.1894 BERENJENO_TRANSFORMED_BY_RHOA_REVERSIBLY_DN
BERENJENO_TRANSFORMED_BY_RHO...5         SET       8     -0.18817   -0.0038725      0.33019      0.71562 BERENJENO_TRANSFORMED_BY_RHOA_REVERSIBLY_UP
BERENJENO_TRANSFORMED_BY_RHO...6         SET     518    -0.034961   -0.0057108       0.0386      0.81745 BERENJENO_TRANSFORMED_BY_RHOA_UP
BERGER_MBD2_TARGETS                      SET       4      0.57525     0.008372      0.51267      0.13092 BERGER_MBD2_TARGETS
BERNARD_PPAPDC1B_TARGETS_DN              SET      56      -0.1572   -0.0085487      0.12432      0.89697 BERNARD_PPAPDC1B_TARGETS_DN
BERNARD_PPAPDC1B_TARGETS_UP              SET      36     0.092793     0.004048      0.15518      0.27493 BERNARD_PPAPDC1B_TARGETS_UP
BERTUCCI_INVASIVE_CARCINOMA_...1         SET      43     0.012789   0.00060961       0.1425      0.46425 BERTUCCI_INVASIVE_CARCINOMA_DUCTAL_VS_LOBULAR_DN
BERTUCCI_INVASIVE_CARCINOMA_...2         SET      24      0.40365     0.014382      0.18366     0.013987 BERTUCCI_INVASIVE_CARCINOMA_DUCTAL_VS_LOBULAR_UP
BERTUCCI_MEDULLARY_VS_DUCTAL...1         SET     162     0.038798    0.0035784     0.074323      0.30083 BERTUCCI_MEDULLARY_VS_DUCTAL_BREAST_CANCER_DN
BERTUCCI_MEDULLARY_VS_DUCTAL...2         SET     193     0.071998    0.0072419     0.065433       0.1356 BERTUCCI_MEDULLARY_VS_DUCTAL_BREAST_CANCER_UP
BHATI_G2M_ARREST_BY_2METHOXY...1         SET     117    -0.033308   -0.0026139      0.08148      0.65865 BHATI_G2M_ARREST_BY_2METHOXYESTRADIOL_DN
BHATI_G2M_ARREST_BY_2METHOXY...2         SET     111    -0.026949   -0.0020602     0.087736      0.62064 BHATI_G2M_ARREST_BY_2METHOXYESTRADIOL_UP
BHATTACHARYA_EMBRYONIC_STEM_...          SET      80     -0.10441   -0.0067821      0.09711      0.85885 BHATTACHARYA_EMBRYONIC_STEM_CELL
BHAT_ESR1_TARGETS_NOT_VIA_AK...1         SET      87      0.20838     0.014112      0.10615      0.02483 BHAT_ESR1_TARGETS_NOT_VIA_AKT1_DN
